0.35,10,1.527
0.35,10,1.524
0.35,10,1.526
0.35,10,1.527
0.35,10,1.527
0.35,10,1.527
0.35,10,1.527
0.35,10,1.528
0.35,10,1.524
0.35,10,1.529
0.35,10,1.525
0.35,10,1.528
0.35,20,1.534
0.35,20,1.53
0.35,20,1.531
0.35,20,1.54
0.35,20,1.529
0.35,20,1.532
0.35,20,1.534
0.35,20,1.537
0.35,20,1.531
0.35,20,1.534
0.35,20,1.532
0.35,20,1.534
0.35,30,1.542
0.35,30,1.541
0.35,30,1.548
0.35,30,1.548
0.35,30,1.545
0.35,30,1.542
0.35,30,1.547
0.35,30,1.536
0.35,30,1.551
0.35,30,1.545
0.35,30,1.548
0.35,30,1.545
0.35,40,1.563
0.35,40,1.563
0.35,40,1.565
0.35,40,1.563
0.35,40,1.569
0.35,40,1.569
0.35,40,1.574
0.35,40,1.564
0.35,40,1.562
0.35,40,1.563
0.35,40,1.566
0.35,40,1.566
0.35,50,1.584
0.35,50,1.594
0.35,50,1.593
0.35,50,1.585
0.35,50,1.588
0.35,50,1.587
0.35,50,1.591
0.35,50,1.588
0.35,50,1.589
0.35,50,1.592
0.35,50,1.59
0.35,50,1.589
0.35,60,1.616
0.35,60,1.627
0.35,60,1.619
0.35,60,1.62
0.35,60,1.614
0.35,60,1.616
0.35,60,1.618
0.35,60,1.616
0.35,60,1.616
0.35,60,1.616
0.35,60,1.62
0.35,60,1.614
0.35,70,1.656
0.35,70,1.654
0.35,70,1.657
0.35,70,1.652
0.35,70,1.656
0.35,70,1.652
0.35,70,1.66
0.35,70,1.65
0.35,70,1.655
0.35,70,1.656
0.35,70,1.659
0.35,70,1.656
